,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CAMP,4.56935998205083e-65,-0.50482584268365,0.924,0.98,8.04390131240228e-61
TSPAN4,4.71724480959446e-65,0.499626582189076,0.586,0.365,8.30423776281009e-61
MARCO,1.50088268611485e-64,0.769263697121161,0.938,0.887,2.64215388063658e-60
CD163,7.52242189106572e-64,-0.412589675113736,0.933,0.983,1.32424714970321e-59
CST3,6.26969418710836e-63,0.358227629027984,0.761,0.516,1.10371696469856e-58
LGMN,6.52585872096173e-63,0.567269580810647,0.887,0.739,1.1488121692381e-58
PLA2G2D,1.67522757344525e-62,0.383629362144942,0.151,0.032,2.94907062029302e-58
ECM1,3.08227793846568e-61,0.488348975341642,0.317,0.14,5.42604208287499e-57
GPR137B,2.25751019970806e-60,0.343843358976815,0.693,0.446,3.97412095556607e-56
MAMU-DRA,2.93867829413045e-58,-0.371295044902726,1,0.999,5.17324926898724e-54
CD59,1.44056150095058e-57,0.575714237861406,0.889,0.761,2.53596446627341e-53
CPM,2.46917470658486e-57,0.527244679337537,0.804,0.613,4.34673515347199e-53
RHOB,8.73587776421165e-55,0.515176430944439,0.608,0.374,1.53786392161182e-50
LOC697476,3.68309708636536e-54,0.394714358684293,0.999,0.999,6.48372411083757e-50
MYLIP,1.29242241509841e-52,0.410688662623757,0.372,0.196,2.27518041953924e-48
LTB4R,2.66524863835222e-52,-0.390281578671484,0.68,0.785,4.69190370295524e-48
LOC114677644,1.44255691478513e-51,-0.313298938033062,0.971,0.989,2.53947719278775e-47
ITGB2,1.94449183228402e-51,-0.35619704752953,0.831,0.928,3.42308342155279e-47
PLD3,4.23171837403288e-51,0.564859562144973,0.559,0.363,7.44951702564749e-47
FABP4,1.59172662253229e-50,-0.43587921533824,0.982,0.993,2.80207554630584e-46
LOC106997433,2.43801599796726e-50,-0.311776462366941,0.231,0.433,4.29188336282156e-46
CD52,8.75172083635614e-50,-0.278832076316188,0.997,0.999,1.54065293603213e-45
MARCKS,1.27074053475215e-48,0.482363731677756,0.368,0.197,2.23701163737768e-44
NRIP1,2.67603493207828e-48,-0.384677958028612,0.894,0.946,4.7108918944306e-44
ICAM3,2.68147644291117e-48,-0.364405920865319,0.245,0.433,4.72047113010083e-44
SH3D21,4.10521373519173e-48,0.305676463930671,0.224,0.088,7.22681825943153e-44
MPC2,5.76540524198241e-48,-0.299203195751466,0.988,0.995,1.01494193879858e-43
TMSB4X,1.01370680045175e-47,-0.291350243254455,1,1,1.78452945151527e-43
LOC723473,1.83201604577179e-47,0.312207578240491,0.287,0.132,3.22508104697667e-43
ALDH2,2.42904098608581e-47,-0.250376647212299,0.998,1,4.27608375190545e-43
DOK2,7.32507380373152e-47,-0.32296364565495,0.831,0.905,1.2895059924089e-42
HSPA1A,8.78578966265597e-47,0.395721169182087,0.195,0.069,1.54665041221396e-42
NEK6,2.2245621755222e-46,0.2999641055631,0.718,0.49,3.91611925378929e-42
SRSF9,2.39122595309127e-46,-0.268144994278224,0.956,0.982,4.20951416782187e-42
VASP,3.69555811329942e-46,-0.255588487309983,0.953,0.987,6.5056605026523e-42
NFKBIZ,5.20683044253502e-46,0.404745537252467,0.614,0.391,9.16610431103864e-42
CTSG,1.08641641165631e-45,0.260812439419914,0.152,0.045,1.91252745107978e-41
SGMS1,2.49504114648992e-45,-0.3542856525797,0.827,0.91,4.39227043428086e-41
FN1,3.6918790739766e-45,-0.354769785114395,0.844,0.962,6.4991839218284e-41
