,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
BSG,1.40011514835589e-58,-0.367948037786411,0.97,0.987,2.46476270716571e-54
RAP1B,1.49395825014578e-58,-0.310387617823356,0.995,0.997,2.62996410355663e-54
LOC718403,2.20240720987899e-58,-0.407199712925691,0.171,0.414,3.87711765227098e-54
SELENOW,5.27200194074555e-58,-0.312821257010489,1,0.999,9.28083221648847e-54
SORL1,6.09747320238488e-58,-0.480985386566532,0.322,0.548,1.07339918254783e-53
PPP1R14B,8.51799239925236e-58,-0.370557190887652,0.924,0.96,1.49950738196438e-53
ACTR3,8.63255548030213e-58,-0.329369625178097,0.978,0.991,1.51967506675239e-53
GRB2,1.80103315158911e-57,-0.388760653448303,0.836,0.888,3.17053876005746e-53
TGFBR3,2.82197075030071e-57,0.442873765798327,0.354,0.161,4.96779730882936e-53
COX6B1,2.86296665170742e-57,-0.299218358017305,0.991,0.997,5.03996649366574e-53
KLF4,4.5933706088751e-57,0.671087653291942,0.951,0.836,8.08616961986372e-53
NDUFB2,4.72967386349829e-57,-0.281550547997538,0.995,0.998,8.32611786930239e-53
COX3,9.28050774441611e-57,0.45317477268663,1,1,1.63374058332701e-52
SPNS1,9.57140718355515e-57,-0.429430232813663,0.576,0.727,1.68495052059305e-52
CCL15,2.21972329383326e-56,-0.392544252104824,0.971,0.984,3.90760088646408e-52
NDUFA11,3.29672053219043e-56,-0.299531271498191,0.98,0.987,5.80354682486804e-52
LOC720636,4.16228063775808e-56,-0.298229374490182,0.997,0.996,7.32727883470932e-52
TXNIP,4.82210958441398e-56,0.612385616278196,0.888,0.686,8.48884171240237e-52
LMNA,4.82534536662187e-56,-0.381680853482383,0.982,0.995,8.49453798340114e-52
NUDT5,5.30618113086222e-56,-0.415137394775208,0.701,0.801,9.34100126276985e-52
COPS9,5.68492029798284e-56,-0.296425363065221,0.981,0.992,1.0007733692569e-51
TMEM14A,1.07208161201876e-55,-0.448582310284536,0.562,0.72,1.88729246979782e-51
TKT,1.68630541669943e-55,-0.317726978051049,0.972,0.989,2.96857205555767e-51
HIF1A,3.27584556692572e-55,0.507503015677129,0.87,0.697,5.76679853601604e-51
TXNDC17,3.40641428701753e-55,-0.371022169060603,0.814,0.875,5.99665171086567e-51
TRAPPC2L,5.50533184667732e-55,-0.383323635678346,0.639,0.77,9.69158618289075e-51
RHOB,6.2400725340772e-55,0.722001718957572,0.603,0.404,1.09850236889895e-50
UBL5,9.25407831429195e-55,-0.272414194622274,0.995,0.996,1.62908794644795e-50
TGM2,1.09653474930398e-54,0.60401252395073,0.626,0.435,1.93033977267472e-50
SNU13,1.16882027228095e-54,-0.341351964880058,0.879,0.926,2.05759120732338e-50
HSP90AA1,2.05239126260224e-54,0.7433887785925,1,1,3.61302957868499e-50
C10H20orf24,2.50090765256428e-54,-0.368052233764004,0.873,0.921,4.40259783157415e-50
LSM6,3.85037097348062e-54,-0.405780957720496,0.877,0.923,6.77819306171529e-50
PRR13,4.31013796353852e-54,-0.306558364996432,0.991,0.995,7.58756687101321e-50
BZW1,5.58739460480402e-54,-0.382180137797053,0.924,0.936,9.836049462297e-50
LOC106997715,8.29294637363469e-54,-0.25132070606304,0.003,0.168,1.45989027961465e-49
IFI27L2,9.47671385038858e-54,-0.308636300769111,0.968,0.979,1.66828070622241e-49
ARPC5,9.53355606244158e-54,-0.292048704624242,0.998,0.999,1.67828720923222e-49
PTPRC,1.05634543561318e-53,-0.329234296999907,0.994,0.995,1.85959050485344e-49
RBM3,1.24151238639241e-53,-0.319607366420187,0.983,0.986,2.1855584050052e-49
LOC109910387,1.75670882314318e-53,0.758558182567707,1,1,3.09251021226125e-49
MVP,2.19856323972025e-53,-0.390865953338176,0.831,0.888,3.87035072720352e-49
GADD45A,2.43830624836615e-53,0.650399330914704,0.638,0.425,4.29239431962378e-49
